index,categories,overall_sentiment,review

"

11,breakfast:5★ cleanliness:5★ service:5★ price:4★ location:3★,26,"Oct 25 2009	Mouse in dining room!!!	Just got back from the worst hotel stay of my life here. My daughter and I had a day in London planned when i received an email from Britannia Hotels offering a special deal so we decided to book in and make a weekend of it. Bad decision. The room was smelly and stuffy it was very hot even though we had the heating turned down to 16 degrees and there were no windows that we could open. There were 10 very noisy fans on the roof right outside our bedroom room 503 which were on all the time and were so loud it was almost impossible to sleep. We were put on the same corridor as a group of school children who were incredibly noisy and were running up and down the corridor screaming into the small hours. The decor was very tatty the bottom of the bed was frayed and it was so narrow it was difficult to turn over in the night without falling out. To top it all we tried the carvery in Jenny's restaurant on our first night and as we were finishing dinner we spotted a mouse running around under the tables scouting for supper. We pointed it out to the waiter who didn't seem too surprised because it wasn't the first time he'd seen it there. Definately a hotel to avoid.	
"

12,breakfast:2★ cleanliness:0★ price:0★ service:0★ location:0★,-12,"Oct 25 2009 	Grubby worn and unhelpful.	I stayed in the International Britannia Hotel with about 15 pupils and staff as part of a conference being held for two days three nights. ROOMThe room was incredibly dated to say the least. The decor was hideous and without a theme. The artwork was quite raunchy including naked people in suggestive positions (remembering I'm a student). The TV didn't work and the only way it could be turned off was at the switch neither did the remote. The toilet door wouldn't lock one person was put on a camp bed the front door broke so it was a struggle for it to lock so no-one could come in without a card. The only way to boil the kettle was to balance it on the bed due to the immense lack of normal plug sockets. We phoned up reception three times to get someone to come up to fix the TV they managed to do it but the manager who came said he would send up maintainence to fix the doors. He didn't. We had to call a further three times and even then it only got fixed as we was leaving on the third day despite all the calls occuring on the first day. The mirror was broken and the view was of a construction site (including the lovely sounds at 6am). As we walked into the room we found an apple on the chandelier from the last inhabitants. The air con was noisy and it never had a decent temperature it was either glacial or boiling. The beds weren't too bad except the camp bed. The hot drink facilities were good as there was a variety to choose from such as hot chocolate decaf tea etc. FACILITIESPrior to the stay we had been reassured that there would be a swimming pool and gym avaliable to us when we wasn't in the conference room. So after a day of meetings all the group wanted was to work out and go for a swim however the swimming pool was shut for the Friday and Saturday we were there for and the gym was unavaliable on the Saturday due to a class being taught. When we did manage to get into the gym it had a nice range of high-tec machines and there was a bar closeby for anyone wanting the spa or some fruit an energy bar or a drink. The swimming pool was surprisingly small compared to the photos shown on the website and incredibly cold quite clearly unheated. The sauna and steam room was very nice.RESTAURANTSIn the mornings our group had the breakfast buffet at Jenny's restaurant in the afternoons we had pizza in the pizzeria and in the evenings we had the three-course carvery meal. The food from Jenny's restaurant is faultless. It had a wide range for both vegetarian and such. The meat from the carvery was outstanding and the entire breakfast was brilliant. The pizzeria didn't quite have the same effect with me. The pizza was burnt and airy and the coke that came with the pizza was barely a drip until our last meal there where they decided to give us full pint glasses. I would recommend Jenny's restaurant to any stayers of the hotel but I wouldn't recommend the pizzeria to anyone.EXPENSEI didn't have anything to do with the booking and such so I haven't got much of a clue about the costs of the stay itself only of the bar. For a 200ml bottle of coke it was ï¿½2. I thought that was really taking the mick as the restaurant sold pints of coke for ï¿½2. I was not impressed by the price of that.I think that anyone who wishes to stay in London should look elsewhere. For a &quot;4 star hotel&quot; I would struggle to give it 2 stars. I can imagine it being very expensive and very disappointing to people who paid for it. I definitely think that there are far better hotels in the area.	
"

13,breakfast:4★ cleanliness:4★ price:4★ service:4★ location:4★,20,"Oct 25 2009 	A promising exterior but seriously lacking inside	I stayed here with friends for one night &amp; that was more than enough.The room was a good size but dated and poorly sound-proofed. We were kept awake at night by the DLR and extremely noisy air-con then woken by the noise from the construction site next door then a cleaner letting herself into the room at 8am. We pre-booked the continental breakfast at ï¿½6 per head which consisted of oily croissants two cereals some rolls and processed cheese along with horrendous coffee and stewed tea.This hotel claims a four-star rating - I've stayed in two-star accommodations that have been far better.	
"

14,service:0★ breakfast:0★ cleanliness:0★ price:0★ location:0★,-140,"Oct 22 2009 	Nice Hotel nice staff dissapointed discusted with duty manager decision tho	Dec 2008 i had a 10 day Holiday in London brittannia was recommended to me. I booked cheap on line for 3 nights to treat myself. Very impressed with the front desk and staff. I got little sleep due to train noise from 6.30 Am til 11.30 pm odd - plus the heating/cooling system would not regulate to a comfortable level. The room was spacious enough and bath luxurious. Last day I used the health/gym/pool facilities downstairs decided to treat myself to a tanning booth session (the minimnum 6 odd minutes). Being used to regular tanning at home &amp; having recently returned from Africa my colour fading.. The booth was DEF faulty or had BRAND new bulbs in the pod... I WAS S E V E R L Y B U R N T after just half my session. Pods with new bulbs normally have a warning sign on them to reduce tanning time. When I Panicked &amp; rang through to reception to explain the Hotel refused to take any responsibility &amp; the duty manager said I must have had an allergic reaction - which was ridiculous being used to regular tanning. I WAS BADLY BURNT ALL OVER / SICK &amp; needed EMERGENCY Hospital attention this was getting late at night - the burning had taken all evening to become sore. . After an hour of pleading and explaining at the desk the Hotel were kind enough to phone / book me a taxi (At my expense) &amp; printed me a &quot;Courtesy&quot; map of the nearest Hospital. Even though I told them I had no cash left for a taxi &amp; I was lost in that area of London. The desk staff took my mobile tel no &amp; said they would call me later on I had no credit on my Mb either. A female sick &amp; Alone at Midnight I walked out lost towards the Hosp with their map. {My travel pal was not with me the last night} When I returned 3 hours later on strong coedine pills with medicine &amp; a prescription for the morning I was FURIOUS at my eve ordeal. In severe pain nauseous shaking no body temperature control &amp; scared for my own safety out on foot in dark streets. In the Hosp the desk staff had rung my mobile but my phone was switched off in the hosp. The manager even made me then beg him to let me check out later than normal in the morning. In the middle of my holidays I had to make alternative plans to get straight home which was expensive and inconvienient to say the least. After a 2 week recovery period &amp; various doctor's visits - I wrote in length to Brittannia with details from the Doctor who had examined my burnt skin &amp; letter of proof to say i used tan booths regularly etc.... STILL Had N O reply as yet. P.S. the morning I checked out the tanning booth was open as usual as if nothing had happened.  Now I am curious to see if I get a reply on here ! ! TOTALLY discusting treatment in such a high class Hotel.	
"

15,price:5★ breakfast:5★ cleanliness:4★ service:5★ location:3★,26,"Oct 15 2009 	Fantastic Value for Money!	A place to stay for a trip to see The Jersey Boys and after trawling the internet I came across the Britannia. We got a special deal for a twin room that included breakfast so to be honest at ï¿½158 for two nights for two people we weren't expecting The Ritz. However how wrong were we in fact what we got was a warm smiley welcome which set the theme for the weekend.I have to be honest we were given a room that immediately put me in the 'grr' frame of mind one right by the lifts and one that although it backed on to the waterfront also to the DLR railway. I always travel with earplugs so to be honest it wouldn't have been a problem however we never had any distubance from the lifts and the railway due to engineering works only ran on the Friday evening. My only other three issues with the room were that the twin beds were single ones I guess that comes with being spoilt at other hotels that provide doubles the shower head (tiny) and lack of lighting (make-up application). Other than that everyting was pretty much spot-on.We decided to eat in on Friday no booking required and headed to Jenny's Carvery. Fantastic helpful friendly staff one of whom when we departed on Sunday morning after our ample full english shook our hands and said 'It's always sad when nice people check out'! Three courses for ï¿½15 - excellent! Our only critiscm here was lack of signage - nothing to say three courses some of the food items on offer and refreshments on the tea/coffee table didn't have appropriate signage. The whole bill for both with drinks came to ï¿½40.Saturday morning we sampled the breakfast selection fruit yoghurt toast cereals and full English. Obviously we didn't have all of the above (no yoghurt) and again it was excellent. We dined in the Pizzeria Saturday evening - total bill with tip for starter mains (including perfectly cooked sea bass) came to ï¿½47 for two. The only disappointment were the coffees in the bar later in the evening although the Baileys cheered them up!Again on Sunday we enjoyed the breakfast. All in all I'm looking forward to staying there again in the near future. I cannot speak highly enough of the staff. It's worth mentioning too that the waiter in the Pizzeria has worked there for several years which for the hotel/catering industry speaks volumes. A big thumbs up Britannia International - in a climate of financial doom and gloom you certainly put two big smiles on these 'girls' faces! On-site parking too at excellent rate - Thank you!	
"

16,service:2★,2,"Oct 13 2009 	1st class hotel	Stayed with friends at Brit. hotel canary wharf  great all round hotel  very good food rooms very comfortableand very good and friendly service would use again.	
"

17,breakfast:5★ cleanliness:5★ service:5★ price:4★ location:3★,27,"Oct 11 2009	Not too bad alright to stay in	The first thing I noticed about the hotel was after seeing the typical characterless outside the inside seemed like another world. I thought it seemed very odd but it didn't bother me much although it's not my favourite style. Staff seemed alright but lived up to the 'international' part of the name.It's a bit further out than most hotels but as I'm used to doing a 30min each way commute back home 15 minutes on the tube to Central London wasn't an issue.Beds in my room were pretty horrible to sleep on and the lift to the fourth floor was like trying to catch public transport (wait 5 minutes then it's too full to get in). The selection of restaurants wasn't to crash for the night if you get a good deal price wise.great but overall the place is alright	
"

18,price:5★ cleanliness:5★ breakfast:5★ service:5★ location:5★,37,"Oct 5 2009 	Great value very comfortable.	Was offered an upgraded to a deluxe room at no extra cost- very quick sign in from courteous staff.. Had a 9th floor room with the most amazing views of both the Thames and Canary Wharf. Spacious room - nicely decorated and pristinely clean.Couldn't have asked for anything better.Wonderful location right next to DLR and Jubilee Line ( check weekend works closures for Jubilee at present). Also within a stone's throw of Canary Wharf pier with Clipper boat service to Westminster O2 and Greenwich .Brillant boat service but pricey. Best to but a Roamer ticket to give all day hop on and off travel- you can even go through the Thames Barrier on Clipper. An evening Clipper trip in the dark is wonderful- but beware that the ticket expires at 10pm and you will be charged again after that time.Combined with inclusive continental breakfast this stay was a brilliant deal. I would reccommend it wholeheartedly. I was put off by other reviews on this hotel on Tripadvisor but I did not experience any of the negative comments posted there.	
"

19,breakfast:0★ cleanliness:0★ service:0★ price:0★ location:0★,-24,"Sep 29 2009 	Poor quality - tired and in need of update	Look I'm sorry but for a hotel of this location where everything in Canary Wharf is ultra modern clean and gleaming this hotel stands out like a sore thumb the moment you enter it. Gaudy and kitch - way out dated and very tired.The decor in the room is a mish mash which all looks incredibly dated - not to mention the incredibly odd (and raunchy!) artwork. Above my dark wood ornate headboard is a very bizarre print of naked men!The bed is way way beyond it's sell by date and I can just about feel the springs pushing through. Bedding is cheap and basic with hard pillows.The skirting on the bed is frayed and so creased it will never be straight and smooth again.The room is clean and doesn't smell - the view is OK and the noise levels are well contained. Those are about the only plus points.Seriously go somewhere else if you have the option.	
"

20,service:0★ breakfast:0★ cleanliness:0★ price:0★ location:0★,-15,"Sep 26 2009 	Noisy and unfriendly	Not worth the price the DLR drove me nuts the aircon was erratic the staff could only speak basic English. I have backpacked around the world by myself and have never felt as uncomfortable as this place I ended up putting the chair against the door handle. It was sleazy the pool area was staffed by greasy men that were just revolting.	
"

21,service:5★ location:5★ price:4★ breakfast:5★ cleanliness:5★,36,"Sep 20 2009 	Great stay-as usual	This was our third stay at the Britannia and we have enjoyed it on each occasion.We stayed for seven nights this time and if anything the hotel has improved since our last visit.We arrived at 7.15 am and were met by the concierge who come outside and carried our cases into the hotel where we left them until we came back to check in at 4pm when we had probably the swiftest check in ever in our many visits to London.Whilst our room did not have the fantastic views we have enjoyed on previous visitsas usual it was larger than normal for a London hotel.As ever it was spotlessly clean and had more amenities than we often get in4* hotels in London.We had a trouser pressironironing board and even a set of bathroom scales.Our one gripe on our previous visits was that breakfast was rather chaotic and the serving staff disinterested.Now however breakfast seems to served in separate rooms depending on which type you are having with coach parties having a restaurant to themselves.This resulted in us having a very relaxing continental breakfast in a light and airy room looked after by a very obliging young waiter.We had a choice of fruit juicescereals yoghurtsrollscroissantstoast cheese and cold meat.This is a very comfortable hotel with great travel connections practically on it's doorstep and it is good to see that opinions on this site are starting to reflect this after going through a period of very critical reviews which I could never understand.I would have no hesitation in recommending it to others.	
"

22,breakfast:5★ cleanliness:5★ service:5★ price:3★ location:5★,30,"Sep 14 2009 	Nice and Quiet in a Clean Part of London	was nicely surprised with this hotel on approach from the clipper service it does look a bit tatty but the entrance is very inviting and the staff are very courteous. the rooms are air conditioned and there is a choice of smoking or nonsmoking very rare these days!!! we had the top flor room with a nice view down the Thames and a slight view of Canary Wharf and the O2. Could do with dressing gowns in the rooms but this is the only complaint really. transport links are quite good with DLR and tube services close by also the hotel seems to have its own chaffeuer service at very reasonable rates we used this service to go to Mayfair and it was the same price as a black cab! all in all a decent hotel	
"

23,service:0★ breakfast:0★ cleanliness:0★ price:0★ location:0★,-32,"Sep 9 2009 	Tired hotel Tired Traveller	I stayed here for 1 night having been bumped from Radisson NPW my usual haunt. (grr). First impressions were ok reception staff ftriendly if a little slow. Then up top the room walked in and hit by a wave of depression (ok I was tired). Room was gfloomy outside the window were the noisy air handling units decor is just plain odd bathroom did not have a free standing shower but one that you have to stoop to get into (pet hate) and no minibar (this is 4*?!)Room service was grim got sirloin steak that I think had been cooked for 2 hours in vinegar. No cold beer in my choice.No iron in the room and an age to track someone down to answer the phone to send one upGym does not open till 7 no good for a business traveller who likes to be at the desk for 8. Avoided breakfast and joined the long checkout queue instead.In summary I will be avoiding this place. It needs a complete revamp and a decent chef.	
"

24,breakfast:5★ cleanliness:5★ price:5★ service:5★ location:3★,26,"Sep 7 2009 	Fantastic Hotel - Penthouse Suite a must!!	I booked the Penthouse Suite for myself and my boyfriend. After booking I read some reviews of this site and was a bit nervous about it as some reviews were saying the hotel was a bit dated and the rooms were in need of updating.But upon arriving at the International nothing could be more wrong. The foyer itself was beautiful and the decoration is by no means tired and dated. It is traditional and quite grand. Maybe the people writing bad reviews prefer trendy modern and minimalist decor hence the comments. The reception staff could not have been more friendly and helpful.The penthouse suite itself was stunning. Upon entering the room there is an iron spiral staircase taking you up to the suite. The living room is very spacious with mahogany sideboards dining table and dresser and leather sofas with floor to ceiling windows leading out onto a private balcony with stunning views. The bedroom was spacious although obviously smaller than the living area and beautifully decorated again with stunning views of Canary Wharf and beyond. The bathroom has a jacuzzi bath big enough for two! The location of the hotel is a bit far from the centre of London if thats were you want to go and I believe there is a train not to far away to take you into the centre but we took the Thames Clipper fast ferry which is only a five minute walk away from the hotel which takes you to all different parts of London and I would recommend this. All in all I would highly recommend this hotel and will definately stay again.	
"

25,price:4★ breakfast:3★ cleanliness:1★ service:2★ location:4★,14,"Sep 2 2009 	Good value	I stayed at this hotel with my mum and 8yr old Nephew for two nights. It was very reasonable and not booked directly with the hotel. The room was fine three single beds as it was a family room we overlooked the water which is quite a lovely view. The room and bathroom were clean. The breakfast was included as continental but we just walked into the main place and had the buffet full english. We were not challenged but it was about twenty mins before closing time as my nephew wouldnt get out of bed! The food was lovely trying to get a hot drink was very difficult. The staff are very busy and seem to forget. The pool was quite cold and there was a terrible smell in the changing rooms if you were looking to stay at a hotel just to enjoy the pool facilities I really wouldn't reccomend this one. Overall this hotel was fine for two nights the location was good about a ten min walk from the tube and docklands railway.	
"

26,breakfast:2★ cleanliness:2★ price:2★ service:4★ location:3★,13,"Aug 29 2009 	We had a great stay in this place!	I have just returned from a five day break in London with my friend. The hotel was booked as part of a package so we had NO idea what to expect. I am glad I didn't read all the reviews on this site before I went. It was clean comfortable the staff were helpful our bedroom and bathroom were clean spacious and well equipped. So maybe not evryone likes chandeliers - you can choose your own decor at home how are hotels supposed to please all tastes? And if you don't want to see and hear a train or a tube from your window - don't choose a hotel in Canary Wharf area right next to a DLR stop! I would stay here again the location is fantastic and my only very slight complaint is the way some of the tour groups were shoved upstairs out of the way in a conference room for breakfast.	
"

27,breakfast:5★ cleanliness:3★ price:0★ service:3★ location:3★,14,"Aug 28 2009	Britannia International Hotel canary Wharf London	I have just come back from a four-night break in London with my friend. It was booked as a package through a coach tour company and we had no idea what to expect but we were most impressed! It's a brilliant location a lovely clean hotel helpful staff great breakfast. The room was spotlessly clean and the bathroom was lovely - even had a bathroom scale!. Since returning home I have checked out the reviews on this site and cannot believe some of the negativity - although I get the feeling that some of the worse ones go back a year or two. Speaking as of now August 2009 I absolutely recommend this place. So what if you don't like the decor in a hotel all you reviewers out there? You get to choose your own at home. How do you expect hotels to please everyone? And if you don't like being able to see or hear a train or a tube - go to the countryside!!My only slight grouch was that coach parties were expected to be separate in some sort of converted conference room which is a bit less atmospheric than the main dining room and has quite a bit less choice although it was still the full brecky. Reminds you that maybe some of us package hol. travellers are the poor relations?	
"

28,breakfast:5★ cleanliness:5★ price:5★ service:5★ location:5★,63,"Aug 24 2009 	A very pleasant stay - would definitely go back	After reading some of the reviews on here I was a little dubious about booking this hotel but took a gamble and it certainly paid off. We had a pleasant stay and the room was very spacious and more than up to our expectations. We were put in a double room on the 10th floor at the front of the hotel in the direction of Canada Square with a wonderful view over the water. The room was very clean with a nice en-suite and was decorated in what I would call non-offensive classic style. The bed was comfy and certainly not lumpy as per some of the other comments on here. We actually had a very good nights sleep. People who complain about things like chandeliers mirrors in the lifts and ornaments in the corridors are quite frankly just looking for any little thing they can to moan about!! The hotel staff seemed friendly and helpful enough and the hotel itself certainly wasn't smelly. In fact the corridors and room had a noticeable fragranced smell about them.I agree that the included continental breakfast in the pizzeria restaurant is quite basic but you have to accept that as a freebie you're not going to get a banquet. If you're really not happy with the selection offered then you do have the choice of walking 10 metres across to the main restaurant and paying ï¿½13.50 per person for a much bigger choice of breakfast including full English. We didn't pay any extra ourselves and were quite happy with the basic breakfast of cereals croissants rolls toast cheese/conserves yoghurt and juice/tea/coffee.If you want a good deal then make sure you search one of the travel supermarket type websites instead of booking direct with the hotel. This is what I did and got our double room for a nightly rate of ï¿½59 including breakfast which was an absolute bargain and even cheaper than a lot of budget type hotels with a lower star rating and no breakfast included.Based on our experience we would definitely go back to this hotel again.	
"

29,breakfast:1★ cleanliness:0★ price:2★ service:0★ location:1★,1,"Aug 13 2009 	How many chandeliers!!	HiHaving read previous reviews i though 'well cant be that bad' i mean chandeliers aint always a bad thing.As we got dropped off to the hotel i was thinking good move here the place looks pretty darn sweet. Into the reception area i was suddenly reminded of a review i had read serious chandelier overload!The reception lobby was a kind of victorian theme but in a bad 80's style!I always gauge a hotel on how long it takes to get checked in well there was only one member of staff on at 7pm on a Sunday evening!Waiting for the lift we had a chuckle about the number of chandeliers and into the lift. Seriously remove some mirrors i've already been to the barber i dont need a mirror infront behind and all around me i've no need to be reminded of how great my hair looks from each side nor do i need to see an infinate number of myself getting smaller and smaller as i peered into the mirrors.Out of the lift we were greeted by some strange fat chineese warrior holding some sort of a weapon oh come on victorian/80's and now some chineese ornaments!Into the room twin beds that might as well have been a double there was such a small gap between the beds. I mean we are friends but not that close friends!Another good guage of a hotel is the TV in the room well this baby should have been on antiques road show i was suprised not to see a Fergison Video Star beneth it!The beds were hard as nails and i had a spodge of blood on my sheets always makes a good impression!I did like the bar downstairs that was level with the water outside. The pizza's are quite nice although it did come with olives i asked for no olives but that was easily fixed.Needless to say i very much doubt i will be staying at the Britannia Hotel London again very time soon!I think the hotel should rephrase the hi speed wifi sign as well!Thanks for reading.	
"

30,location:2★ breakfast:3★ cleanliness:2★ price:1★ service:1★,9,"Aug 5 2009 	EXCELLENT	Really good service and it smelt good too. The beds were very comfy and i loved the cable TV that really made my night as well as my boyfriend ;) the pool was nice and clean and the jacuzee was pengting	
"

31,breakfast:0★ cleanliness:0★ price:0★ service:0★ location:0★,-28,"Aug 5 2009 	I see things haven't changed in 3 years	Me and my partner stayed here some time ago but I had to look it up and can see from current reviews that the hotel has not changed in all this time. The place comes across as being built in the initial heyday of thw wharf and then running out of money.We stayed two nights and the staff were unhelpful some trays left outside rooms on our first night were still there when we left. The room was shabby and there was no mini bar. When we asked whent he restaurant closed we were told it closes when there are no more orders. Great we thought but the food was poor and the room service was no better.It's hard to believe it is 4 star compared to nearby hotels. One to avoid.	
"

32,service:2★ breakfast:0★ cleanliness:0★ price:3★ location:2★,7,"Aug 3 2009 	Pleasantly surprised!	Stayed at this hotel for 1 night as I was going to a gig at the nearby O2. Kind of expected a very basic hotel due to reading some reviews here but I was pleasantly surprised. Sure the hotel is a bit dated and a bit shabby but for me its location to Canary Wharf and the O2 along with the very resonable price made it a great choice. Room was bigger than I expected and was good for a single room except that the bed was a bit hard for me (but for 1 night that was ok). Didn't eat in the hotel but did use the pool which was a fairly decent facility. Staff were helpful enough. Not sure if I would stay here if I was visiting central London but would recommend for concert-goers looking for a place to kip after a gig!!	
"

33,breakfast:4★ cleanliness:1★ price:1★ service:0★ location:1★,5,"Aug 1 2009 	excellent stay! I must defend this hotel	Having read some of the reviews from people I feel i must defend the hotel.Myself and my wife stayed at the hotel on the new year break package 2008 and there is no way i can fault it at all. My standards no in no way low and i would be the first person to complain if i had to But some of the reviews by people are totally unfair to the hotel and staff unless something drastic has happened in the last seven months. Anyway the room was excellent i cant remember the number but it had a spiral staircase from the room door up to the bedroom itself and a patio door out onto a balcony were you could see the Thames-excellent clean and all we needed.Next the food as much as we wanted to eat sometimes the chef would come round to your table and ask if everything was okay -a nice touch.Staff in general were very good and pleasent -Thinking back are we talking about the same hotel ! We are definately Going to stay this New year	
"

34,breakfast:4★ cleanliness:4★ price:3★ service:3★ location:2★,16,"Jul 27 2009 	LONDON DOCKLANDS MAGIC.	I stayed here for 2 nights with my husband the hotel is very grand in the foyer but the dinning room is very tired and needs a revamp. The tables are made of wood and they didn't have table covering so looked rather grubby the setting is great actually overlooking the water. The rooms were clean but very dated the view we had was GREAT from the seventh floor we overlooked the dock and the O 2 arena the docklands light railway and canary wharf. Food was good and plentiful commplimentory bathroom goodies tea making facilities but the bed left a lot to be desired lumpy. The location was fabulous with 5 minutes walk to underground and light railway. I love water and trains so this more than made up for letdowns for me.would definately stay again. 10 minutes into town on the underground or light railway buy a day ticket very good value.we took the open top bus which also includes a trip on the river either to geenwich or westminster and the jack the ripper walking tour at ï¿½24.00 excellent value.	
